;0
VIVT3.SA/BBAS3.SA;5.099197105381604e-16
CSAN3.SA/RENT3.SA;4.613641821115181e-16
ALPA4.SA/MRVE3.SA;3.0149544834453743e-16
BBDC3.SA/ITUB4.SA;2.2662845606799596e-16
RDOR3.SA/B3SA3.SA;2.2424294659073184e-16
PETZ3.SA/EZTC3.SA;2.1961841139651937e-16
EMBR3.SA/SLCE3.SA;1.8598365950333717e-16
BBDC4.SA/RADL3.SA;1.502686608661474e-16
CRFB3.SA/RAIL3.SA;1.2436551983638404e-16
RDOR3.SA/TOTS3.SA;1.1526715513812138e-16
B3SA3.SA/TOTS3.SA;1.0287811376189006e-16
BBSE3.SA/CIEL3.SA;8.834860689305732e-17
PETR4.SA/PETR3.SA;8.383294190234664e-17
LREN3.SA/SOMA3.SA;7.587588130861524e-17
WEGE3.SA/ALSO3.SA;7.408193170077964e-17
BBAS3.SA/TIMS3.SA;5.740080894468827e-17
ITSA4.SA/BBDC3.SA;5.679703327197356e-17
BBSE3.SA/TIMS3.SA;4.9954912882290136e-17
BBDC3.SA/RADL3.SA;4.8839122336572456e-17
BBDC4.SA/CPFE3.SA;3.734376027669853e-17
BBDC4.SA/CIEL3.SA;3.501299692109561e-17
BBDC3.SA/CPLE6.SA;3.135389730701829e-17
CIEL3.SA/CPFE3.SA;3.101682451612538e-17
ITSA4.SA/HYPE3.SA;2.8668425669862833e-17
CRFB3.SA/RENT3.SA;2.803274729528318e-17
ITSA4.SA/CPLE6.SA;2.5772367083641177e-17
CIEL3.SA/CMIG4.SA;2.3452648243577068e-17
CPFE3.SA/EGIE3.SA;2.290274353543549e-17
PCAR3.SA/TOTS3.SA;2.284610151581031e-17
CMIG4.SA/ELET3.SA;2.1171747335298847e-17
CMIG4.SA/ABEV3.SA;1.8818380442277306e-17
FLRY3.SA/RDOR3.SA;1.6379971110479188e-17
WEGE3.SA/B3SA3.SA;1.472605656290391e-17
CPFE3.SA/ABEV3.SA;1.387737421750818e-17
BBAS3.SA/EGIE3.SA;1.2557904508019731e-17
