Ativo 1;Ativo 2;Valor-p
B3SA3.SA;MGLU3.SA;0.0
B3SA3.SA;MULT3.SA;0.0
B3SA3.SA;PETR3.SA;0.0
B3SA3.SA;PETR4.SA;0.0
B3SA3.SA;PRIO3.SA;0.0
B3SA3.SA;RAIZ4.SA;0.0
B3SA3.SA;RDOR3.SA;0.0
B3SA3.SA;SANB11.SA;0.0
B3SA3.SA;SMTO3.SA;0.0
B3SA3.SA;CSNA3.SA;0.0
B3SA3.SA;SLCE3.SA;0.0
B3SA3.SA;SUZB3.SA;0.0
B3SA3.SA;TIMS3.SA;0.0
B3SA3.SA;TOTS3.SA;0.0
B3SA3.SA;VALE3.SA;0.0
B3SA3.SA;VIIA3.SA;0.0
B3SA3.SA;WEGE3.SA;0.0
B3SA3.SA;YDUQ3.SA;0.0
BBSE3.SA;BBDC3.SA;0.0
BBSE3.SA;BBDC4.SA;0.0
BBSE3.SA;BRAP4.SA;0.0
BBSE3.SA;BBAS3.SA;0.0
BBSE3.SA;BRFS3.SA;0.0
BBSE3.SA;CRFB3.SA;0.0
BBSE3.SA;CCRO3.SA;0.0
BBSE3.SA;CMIG4.SA;0.0
BBSE3.SA;COGN3.SA;0.0
BBSE3.SA;CMIN3.SA;0.0
BBSE3.SA;ELET6.SA;0.0
BBSE3.SA;EMBR3.SA;0.0
BBSE3.SA;ENEV3.SA;0.0
BBSE3.SA;EGIE3.SA;0.0
BBSE3.SA;EQTL3.SA;0.0
BBSE3.SA;GOLL4.SA;0.0
BBSE3.SA;HAPV3.SA;0.0
BBSE3.SA;IRBR3.SA;0.0
BBSE3.SA;ITSA4.SA;0.0
BBSE3.SA;ITUB4.SA;0.0
BBSE3.SA;JBSS3.SA;0.0
BBSE3.SA;LWSA3.SA;0.0
BBSE3.SA;LREN3.SA;0.0
BBSE3.SA;MGLU3.SA;0.0
BBSE3.SA;CASH3.SA;0.0
BBSE3.SA;PETR3.SA;0.0
BBSE3.SA;PETR4.SA;0.0
BBSE3.SA;PRIO3.SA;0.0
BBSE3.SA;RAIZ4.SA;0.0
BBSE3.SA;RDOR3.SA;0.0
BBSE3.SA;SANB11.SA;0.0
BBSE3.SA;SMTO3.SA;0.0
BBSE3.SA;CSNA3.SA;0.0
BBSE3.SA;SLCE3.SA;0.0
BBSE3.SA;SUZB3.SA;0.0
BBSE3.SA;TIMS3.SA;0.0
BBSE3.SA;VALE3.SA;0.0
BBSE3.SA;VIIA3.SA;0.0
BBSE3.SA;VBBR3.SA;0.0
BBDC3.SA;BRAP4.SA;0.0
BBDC3.SA;BRFS3.SA;0.0
BBDC3.SA;CRFB3.SA;0.0
BBDC3.SA;COGN3.SA;0.0
BBDC3.SA;CSAN3.SA;0.0
BBDC3.SA;CMIN3.SA;0.0
BBDC3.SA;CVCB3.SA;0.0
BBDC3.SA;EMBR3.SA;0.0
BBDC3.SA;ENEV3.SA;0.0
BBDC3.SA;EGIE3.SA;0.0
BBDC3.SA;EQTL3.SA;0.0
BBDC3.SA;GOLL4.SA;0.0
BBDC3.SA;HYPE3.SA;0.0
BBDC3.SA;IRBR3.SA;0.0
BBDC3.SA;ITSA4.SA;0.0
BBDC3.SA;JBSS3.SA;0.0
BBDC3.SA;LWSA3.SA;0.0
BBDC3.SA;MGLU3.SA;0.0
BBDC3.SA;CASH3.SA;0.0
BBDC3.SA;BEEF3.SA;0.0
BBDC3.SA;MULT3.SA;0.0
BBDC3.SA;PETR3.SA;0.0
BBDC3.SA;PRIO3.SA;0.0
BBDC3.SA;RAIZ4.SA;0.0
BBDC3.SA;RDOR3.SA;0.0
BBDC3.SA;SANB11.SA;0.0
BBDC3.SA;SMTO3.SA;0.0
BBDC3.SA;CSNA3.SA;0.0
BBDC3.SA;SLCE3.SA;0.0
BBDC3.SA;SUZB3.SA;0.0
BBDC3.SA;TIMS3.SA;0.0
BBDC3.SA;TOTS3.SA;0.0
BBDC3.SA;USIM5.SA;0.0
BBDC3.SA;VIIA3.SA;0.0
BBDC3.SA;WEGE3.SA;0.0
BBDC3.SA;YDUQ3.SA;0.0
BBDC4.SA;BRAP4.SA;0.0
BBDC4.SA;BRFS3.SA;0.0
BBDC4.SA;CRFB3.SA;0.0
BBDC4.SA;CMIG4.SA;0.0
BBDC4.SA;CSAN3.SA;0.0
BBDC4.SA;CMIN3.SA;0.0
BBDC4.SA;CVCB3.SA;0.0
BBDC4.SA;ELET6.SA;0.0
BBDC4.SA;EMBR3.SA;0.0
BBDC4.SA;ENEV3.SA;0.0
BBDC4.SA;EGIE3.SA;0.0
BBDC4.SA;EQTL3.SA;0.0
BBDC4.SA;GGBR4.SA;0.0
BBDC4.SA;GOAU4.SA;0.0
BBDC4.SA;GOLL4.SA;0.0
BBDC4.SA;HYPE3.SA;0.0
BBDC4.SA;IRBR3.SA;0.0
BBDC4.SA;ITUB4.SA;0.0
BBDC4.SA;JBSS3.SA;0.0
BBDC4.SA;LWSA3.SA;0.0
BBDC4.SA;LREN3.SA;0.0
BBDC4.SA;MGLU3.SA;0.0
BBDC4.SA;CASH3.SA;0.0
BBDC4.SA;BEEF3.SA;0.0
BBDC4.SA;MULT3.SA;0.0
BBDC4.SA;PETR3.SA;0.0
BBDC4.SA;PETR4.SA;0.0
BBDC4.SA;PRIO3.SA;0.0
BBDC4.SA;RAIZ4.SA;0.0
BBDC4.SA;RDOR3.SA;0.0
BBDC4.SA;SANB11.SA;0.0
BBDC4.SA;SMTO3.SA;0.0
BBDC4.SA;CSNA3.SA;0.0
BBDC4.SA;SLCE3.SA;0.0
BBDC4.SA;SUZB3.SA;0.0
BBDC4.SA;TIMS3.SA;0.0
BBDC4.SA;USIM5.SA;0.0
BBDC4.SA;VIIA3.SA;0.0
BBDC4.SA;WEGE3.SA;0.0
BBDC4.SA;YDUQ3.SA;0.0
BRAP4.SA;BBAS3.SA;0.0
BRAP4.SA;BRFS3.SA;0.0
BRAP4.SA;CRFB3.SA;0.0
BRAP4.SA;CCRO3.SA;0.0
BRAP4.SA;CMIG4.SA;0.0
BRAP4.SA;COGN3.SA;0.0
BRAP4.SA;CPFE3.SA;0.0
BRAP4.SA;CMIN3.SA;0.0
BRAP4.SA;ELET6.SA;0.0
BRAP4.SA;EMBR3.SA;0.0
BRAP4.SA;ENGI11.SA;0.0
BRAP4.SA;ENEV3.SA;0.0
BRAP4.SA;EGIE3.SA;0.0
BRAP4.SA;EQTL3.SA;0.0
BRAP4.SA;GOLL4.SA;0.0
BRAP4.SA;HYPE3.SA;0.0
